Samsung_Smartphone,Samsung_Smart_TV_43in,Samsung_Smart_Watch,Samsung_Washing_Machine,Samsung_AC_1.5_Tonne
67084,53744,22143,44861,35714
35767,59092,31947,48212,51970
46386,52909,25332,39770,41425
31990,44383,19345,35230,55383
57264,68310,19485,47151,27560
71197,56027,28202,44212,54006
44640,48506,27227,35572,59888
33222,37614,11906,38259,32099
37339,52849,21412,41199,59075
79992,50718,28854,41274,61402
39719,54212,26511,31731,49552
75473,58560,10441,31230,42891
43283,66643,17153,48742,50163
34956,69656,18889,51582,43692
71013,52132,13698,34022,62246
51612,71544,22781,50128,49730
20159,66361,17988,35597,56540
101224,21980,14493,27267,51264
32081,52413,15233,42664,43012
44567,36361,28485,21426,48720
46421,41042,28875,25125,59602
52970,41124,26826,51853,45754
76547,47054,31074,36704,44595
14483,24037,33357,30483,63738
95622,38806,18319,35822,44386
64185,26609,9552,38215,58755
99160,52910,26400,39845,39162
79912,64752,21585,32703,56308
94800,77845,16062,33672,51392
60744,45970,35242,37494,36628
44795,39753,15267,39506,33481
49983,62436,30756,50593,43319
65142,33028,20587,33789,52441
48985,72644,7033,48126,45127
71407,55528,28633,57237,42465
27409,47724,25169,32467,50600
81320,32040,21814,19955,63465
35958,25224,21118,38903,36708
97790,49072,12857,49588,52114
32656,44915,12758,21931,61120
30645,61822,6598,28320,49672
79312,52592,11272,40912,64322
80057,45459,15225,45366,50976
72052,38412,19388,23830,52834
101363,46967,10620,33093,56294
39879,35636,19770,29658,39989
80942,53556,13812,53713,50104
44488,51225,13618,41099,51367
56196,60028,33060,35712,36626
50152,46000,37338,47555,47637
14393,40444,26793,37193,55633
58805,61464,7914,50012,31767
72862,54526,24156,29660,46567
34000,55182,11900,19960,37803
95475,48519,20038,34643,39061
55715,63861,30084,28559,49013
34253,38484,16055,46405,30759
64181,44546,31886,37077,46864
35166,59313,23575,31118,30377
24479,34122,14560,44039,61814
67376,59925,9491,36929,59736
29112,42997,26930,36349,40430
28722,33720,17610,27755,33604
72161,30896,8681,57679,41791
23496,61844,9766,40414,30651
79085,58438,34471,47220,54550
77645,40786,13387,43559,50416
31600,33211,34440,36352,49734
54898,39257,22826,17959,58457
27856,37874,14550,40635,56899
63137,56323,16124,24522,46447
24410,37981,25638,53415,51273
97896,38004,17147,29977,47294
36182,26957,8761,33182,51604
67174,50903,13101,37539,38056
30575,54443,28634,36345,43373
36299,53024,23235,40303,41833
50489,49901,18516,44391,38725
58707,71559,13440,43487,46577
116837,46724,17954,49831,54310
19249,62861,26024,35579,46108
11018,52735,9017,37107,66046
44390,31235,37800,48097,43435
45315,60029,28610,30940,63167
88027,50457,14881,29877,39756
92264,53026,29058,17865,43996
87575,36442,22841,42847,38586
31736,45630,22432,41252,41359
48073,64164,10875,30781,38294
72711,37976,30670,25813,51624
42224,20432,17451,21186,40023
65561,39653,26508,35996,34786
37974,47195,14532,28195,42312
42838,60626,14694,44754,52987
84954,52630,34284,52502,46959
38752,66962,18422,44155,38254
102281,46187,8156,47078,33448
41866,44212,27672,56781,54392
18811,38631,13044,42924,53681
39002,38085,29409,37937,47786
